응답자ID,성별,1번문항,10번문항,19번문항
841,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
842,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
843,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
844,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
845,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
846,여,잘 알고 있다.,들어본 적이 있다.,없다.
847,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
848,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
849,남,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
850,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
851,여,보통이다.,보통정도이다.,전혀 없다.
852,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
853,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
854,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
855,남,잘 모르고 있다.,자주 들어본 적이 있다.,보통 수준이다.
856,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
857,남,매우 잘 알고 있다.,전혀 들어본적이 없다.,전혀 없다.
858,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
859,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
860,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
861,남,매우 잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
862,여,잘 알고 있다.,보통정도이다.,보통 수준이다.
863,여,잘 알고 있다.,보통정도이다.,전혀 없다.
864,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,매우 많다.
865,여,잘 알고 있다.,자주 들어본 적이 있다.,매우 많다.
866,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
867,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
868,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
869,남,잘 모르고 있다.,자주 들어본 적이 있다.,많다.
870,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
871,여,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
872,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
873,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
874,여,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
875,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
876,남,보통이다.,보통정도이다.,보통 수준이다.
877,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
878,여,잘 알고 있다.,들어본 적이 있다.,없다.
879,여,매우 잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
880,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,매우 많다.
881,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
882,여,매우 잘 알고 있다.,보통정도이다.,없다.
883,남,매우 잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
884,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
885,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
886,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
887,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
888,남,매우 잘 알고 있다.,보통정도이다.,보통 수준이다.
889,남,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
890,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
891,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
892,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
893,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
894,남,잘 모르고 있다.,자주 들어본 적이 있다.,보통 수준이다.
895,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
896,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
897,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
898,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
899,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
900,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
901,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
902,남,보통이다.,들어본 적이 있다.,없다.
903,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
904,남,잘 알고 있다.,자주 들어본 적이 있다.,많다.
905,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
906,남,보통이다.,자주 들어본 적이 있다.,없다.
907,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
908,여,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
909,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
910,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
911,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
912,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
913,남,매우 잘 알고 있다.,보통정도이다.,없다.
914,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
915,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
916,남,매우 잘 알고 있다.,보통정도이다.,많다.
917,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
918,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
919,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
920,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
921,남,잘 모르고 있다.,자주 들어본 적이 있다.,보통 수준이다.
922,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
923,여,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
924,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
925,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
926,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
927,여,매우 잘 알고 있다.,보통정도이다.,없다.
928,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
929,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
930,남,보통이다.,자주 들어본 적이 있다.,없다.
931,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
932,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
933,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
934,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
935,여,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
936,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
937,남,잘 알고 있다.,보통정도이다.,없다.
938,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
939,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
940,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
941,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
942,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
943,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
944,남,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
945,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
946,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
947,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
948,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
949,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
950,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
951,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
952,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
953,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
954,남,보통이다.,자주 들어본 적이 있다.,많다.
955,남,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
956,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
957,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
958,남,잘 알고 있다.,보통정도이다.,전혀 없다.
959,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
960,남,보통이다.,자주 들어본 적이 있다.,없다.
961,남,잘 알고 있다.,자주 들어본 적은 없다.,보통 수준이다.
962,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
963,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
964,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
965,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
966,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
967,남,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
968,남,매우 잘 알고 있다.,들어본 적이 있다.,많다.
969,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
970,남,보통이다.,자주 들어본 적이 있다.,없다.
971,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
972,남,잘 알고 있다.,보통정도이다.,전혀 없다.
973,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
974,남,매우 잘 모르고 있다.,자주 들어본 적이 있다.,보통 수준이다.
975,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
976,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
977,여,잘 알고 있다.,보통정도이다.,없다.
978,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
979,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
980,남,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
981,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
982,여,보통이다.,들어본 적이 있다.,전혀 없다.
983,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
984,남,보통이다.,자주 들어본 적이 있다.,많다.
985,여,잘 모르고 있다.,들어본 적이 있다.,보통 수준이다.
986,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
987,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
988,남,보통이다.,자주 들어본 적이 있다.,없다.
989,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
990,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
991,남,잘 모르고 있다.,들어본 적이 있다.,전혀 없다.
992,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
993,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
994,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
995,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
996,여,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
997,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
998,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
999,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
1000,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
1001,여,매우 잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
1002,남,보통이다.,자주 들어본 적은 없다.,없다.
1003,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
